,stock,symbol
460,Transformers And Rectifiers (India) Ltd.,TARIL.NS
461,Trent Ltd.,TRENT.NS
462,Trident Ltd.,TRIDENT.NS
463,Triveni Engineering & Industries Ltd.,TRIVENI.NS
464,Triveni Turbine Ltd.,TRITURBINE.NS
465,Tube Investments of India Ltd.,TIINDIA.NS
466,UCO Bank,UCOBANK.NS
467,UNO Minda Ltd.,UNOMINDA.NS
468,UPL Ltd.,UPL.NS
469,UTI Asset Management Company Ltd.,UTIAMC.NS
470,UltraTech Cement Ltd.,ULTRACEMCO.NS
471,Union Bank of India,UNIONBANK.NS
472,United Breweries Ltd.,UBL.NS
473,United Spirits Ltd.,UNITDSPR.NS
474,Usha Martin Ltd.,USHAMART.NS
475,V-Guard Industries Ltd.,VGUARD.NS
476,Valor Estate Ltd.,DBREALTY.NS
477,Vardhman Textiles Ltd.,VTL.NS
478,Varun Beverages Ltd.,VBL.NS
479,Vedant Fashions Ltd.,MANYAVAR.NS
480,Vedanta Ltd.,VEDL.NS
481,Vijaya Diagnostic Centre Ltd.,VIJAYA.NS
482,Vishal Mega Mart Ltd.,VMM.NS
483,Vodafone Idea Ltd.,IDEA.NS
484,Voltas Ltd.,VOLTAS.NS
485,Waaree Energies Ltd.,WAAREEENER.NS
486,Welspun Corp Ltd.,WELCORP.NS
487,Welspun Living Ltd.,WELSPUNLIV.NS
488,Westlife Foodworld Ltd.,WESTLIFE.NS
489,Whirlpool of India Ltd.,WHIRLPOOL.NS
490,Wipro Ltd.,WIPRO.NS
491,Wockhardt Ltd.,WOCKPHARMA.NS
492,Yes Bank Ltd.,YESBANK.NS
493,ZF Commercial Vehicle Control Systems India Ltd.,ZFCVINDIA.NS
494,Zee Entertainment Enterprises Ltd.,ZEEL.NS
495,Zen Technologies Ltd.,ZENTEC.NS
496,Zensar Technolgies Ltd.,ZENSARTECH.NS
497,Zomato Ltd.,ETERNAL.NS
498,Zydus Lifesciences Ltd.,ZYDUSLIFE.NS
499,eClerx Services Ltd.,ECLERX.NS
